Song,Language,Album,Year
A Banda,Portuguese,Chico Buarque de Hollanda,1966
Tem Mais Samba,Portuguese,Chico Buarque de Hollanda,1966
A Rita,Portuguese,Chico Buarque de Hollanda,1966
Ela e Sua Janela,Portuguese,Chico Buarque de Hollanda,1966
Madalena Foi Pro Mar,Portuguese,Chico Buarque de Hollanda,1966
Pedro Pedreiro,Portuguese,Chico Buarque de Hollanda,1966
"Amanhã, Ninguém Sabe",Portuguese,Chico Buarque de Hollanda,1966
Você Não Ouviu,Portuguese,Chico Buarque de Hollanda,1966
Juca,Portuguese,Chico Buarque de Hollanda,1966
"Olê, Olá",Portuguese,Chico Buarque de Hollanda,1966
Meu Refrão,Portuguese,Chico Buarque de Hollanda,1966
Sonho de Um Carnaval,Portuguese,Chico Buarque de Hollanda,1966
De Sua Formosura,Portuguese,Morte e Vida Severina,1966
Severino/ O Rio,Portuguese,Morte e Vida Severina,1966
Notícias do Alto Sertão,NA,Morte e Vida Severina,1966
Mulher Na Janela,Portuguese,Morte e Vida Severina,1966
Homens de Pedra,Portuguese,Morte e Vida Severina,1966
Todo o Céu e a Terra,NA,Morte e Vida Severina,1966
Encontro com o Canavial,NA,Morte e Vida Severina,1966
Funeral de Um Lavrador,Portuguese,Morte e Vida Severina,1966
Chegada ao Recife,NA,Morte e Vida Severina,1966
As Ciganas,NA,Morte e Vida Severina,1966
Despedida do Agreste,NA,Morte e Vida Severina,1966
O Outro Recife,NA,Morte e Vida Severina,1966
Fala do Mestre Carpina,Portuguese,Morte e Vida Severina,1966
Noite dos Mascarados,Portuguese,Chico Buarque de Hollanda vol. 2,1967
Logo Eu?,Portuguese,Chico Buarque de Hollanda vol. 2,1967
"Com Açúcar, Com Afeto",Portuguese,Chico Buarque de Hollanda vol. 2,1967
Fica,Portuguese,Chico Buarque de Hollanda vol. 2,1967
Lua Cheia,Portuguese,Chico Buarque de Hollanda vol. 2,1967
"Quem Te Viu, Quem Te Vê",Portuguese,Chico Buarque de Hollanda vol. 2,1967
Realejo,Portuguese,Chico Buarque de Hollanda vol. 2,1967
Ano Novo,Portuguese,Chico Buarque de Hollanda vol. 2,1967
A Televisão,Portuguese,Chico Buarque de Hollanda vol. 2,1967
Será Que Cristina Volta?,Portuguese,Chico Buarque de Hollanda vol. 2,1967
Morena Dos Olhos D'água,Portuguese,Chico Buarque de Hollanda vol. 2,1967
Um Chorinho,Portuguese,Chico Buarque de Hollanda vol. 2,1967
Ela Desatinou,Portuguese,Chico Buarque de Hollanda vol. 3,1968
